"appl_type","appl_no","product_no","patent_no","patexpstr","patexp","drugsub","drugprod","patuse","delist"
"N",205874,1,"5753706","Feb 3, 2017",2/3/2017,,"Y","U-1577",
"N",74973,1,"5763449","Aug 7, 2016",8/7/2016,,,,
"N",22117,1,"5763476","Jun 9, 2020",6/9/2020,,"Y","U-1960",
"N",22117,1,"5763476","Jun 9, 2020",6/9/2020,,"Y","U-1961",
"N",22117,1,"5763476","Jun 9, 2020",6/9/2020,,"Y","U-1962",
"N",22117,1,"5763476","Jun 9, 2020",6/9/2020,,"Y","U-1963",
"N",22117,1,"5763476","Jun 9, 2020",6/9/2020,,"Y","U-326",
"N",22117,1,"5763476*PED","Dec 9, 2020",12/9/2020,,,,
"N",21087,1,"5763483","Aug 23, 2016",8/23/2016,"Y","Y","U-1113",
"N",21246,1,"5763483","Dec 27, 2016",12/27/2016,"Y",,"U-1113",
"N",21246,1,"5763483","Dec 27, 2016",12/27/2016,"Y",,"U-376",
"N",21087,1,"5763483*PED","Feb 23, 2017",2/23/2017,,,,
"N",21246,1,"5763483*PED","Jun 27, 2017",6/27/2017,,,,
"N",21399,1,"5770599","May 5, 2017",5/5/2017,"Y","Y","U-881",
"N",206995,1,"5770599","May 5, 2017",5/5/2017,"Y","Y","U-1755",
"N",21158,1,"5776944","Apr 4, 2017",4/4/2017,"Y","Y",,
"N",21602,1,"5780454","May 3, 2017",5/3/2017,"Y","Y",,
"N",21602,1,"5780454*PED","Nov 3, 2017",11/3/2017,,,,
"N",203441,1,"5789379","Apr 14, 2020",4/14/2020,"Y","Y","U-1320",
"N",50805,1,"5789395","Aug 30, 2016",8/30/2016,,,"U-925","Y"
"N",21346,1,"5792477","May 2, 2017",5/2/2017,,"Y",,
"N",21897,1,"5792477","May 2, 2017",5/2/2017,,"Y",,
"N",21346,1,"5792477*PED","Nov 2, 2017",11/2/2017,,,,
"N",205060,1,"5792795","May 13, 2018",5/13/2018,,"Y",,
"N",21902,1,"5795911","Oct 31, 2020",10/31/2020,,,"U-172",
"N",202872,1,"5800807","Jan 29, 2017",1/29/2017,,"Y",,
"N",208054,1,"5808146","Nov 9, 2018",11/9/2018,"Y",,,
"N",22041,1,"5834448","Nov 14, 2016",11/14/2016,,"Y",,
"N",19762,1,"5840327","Aug 15, 2016",8/15/2016,,,,
"N",206334,1,"5840684","Nov 24, 2017",11/24/2017,"Y","Y","U-1569",
"N",21636,1,"5840737","Jul 15, 2016",7/15/2016,,,"U-588",
"N",22283,1,"5840737","Jul 15, 2016",7/15/2016,,,"U-1025",
"N",201023,1,"5847170","Mar 26, 2021",3/26/2021,"Y","Y",,
"N",201023,1,"5847170*PED","Sep 26, 2021",9/26/2021,,,,
"N",21106,1,"5849535","Mar 25, 2017",3/25/2017,"Y",,,
"N",21085,1,"5849752","Dec 5, 2016",12/5/2016,,,"U-298",
"N",21277,1,"5849752","Dec 5, 2016",12/5/2016,,,"U-298",
"N",21567,1,"5849911","Jun 20, 2017",6/20/2017,"Y","Y","U-167",
"N",206352,1,"5849911","Jun 20, 2017",6/20/2017,"Y","Y","U-167",
"N",206353,1,"5849911","Jun 20, 2017",6/20/2017,"Y","Y","U-167",
"N",21567,1,"5849911*PED","Dec 20, 2017",12/20/2017,,,,
"N",206352,1,"5849911*PED","Dec 20, 2017",12/20/2017,,,,
"N",206353,1,"5849911*PED","Dec 20, 2017",12/20/2017,,,,
"N",21814,1,"5852195","Jun 22, 2019",6/22/2019,"Y",,,
"N",22292,1,"5852195","Jun 22, 2019",6/22/2019,"Y",,,
