"appl_type","appl_no","product_no","patent_no","patexpstr","patexp","drugsub","drugprod","patuse","delist"
"N",22580,1,"7553818","Jun 14, 2020",6/14/2020,,,"U-1262",
"N",21738,1,"7553835","Oct 19, 2018",10/19/2018,,"Y","U-245",
"N",208794,1,"7553840","Dec 11, 2027",12/11/2027,"Y",,,
"N",20696,1,"7553863","Jun 30, 2027",6/30/2027,"Y","Y",,
"N",205739,1,"7556799","Feb 27, 2025",2/27/2025,,,"U-1766",
"N",201688,1,"7559325","Oct 27, 2025",10/27/2025,,"Y",,
"N",21876,1,"7560122","Jan 25, 2019",1/25/2019,,"Y",,
"N",209661,1,"7560122","Jan 25, 2019",1/25/2019,,"Y",,
"N",18613,1,"7560445","Feb 1, 2027",2/1/2027,"Y","Y","U-986",
"N",21211,1,"7563763","Aug 23, 2019",8/23/2019,,,"U-1183",
"N",21211,1,"7563763","Aug 23, 2019",8/23/2019,,,"U-1367",
"N",21211,1,"7563763","Aug 23, 2019",8/23/2019,,,"U-993",
"N",206500,1,"7563801","Apr 4, 2027",4/4/2027,,"Y",,
"N",22200,1,"7563871","Apr 15, 2024",4/15/2024,,"Y",,
"N",21457,1,"7566445","Jun 4, 2017",6/4/2017,,"Y",,
"N",22181,1,"7566462","Nov 16, 2025",11/16/2025,,"Y",,
"N",22181,1,"7566462*PED","May 16, 2026",5/16/2026,,,,
"N",22518,1,"7566705","May 21, 2020",5/21/2020,,"Y","U-1068",
"N",22181,1,"7566714","Nov 17, 2024",11/17/2024,,,"U-989",
"N",205065,1,"7566714","Nov 17, 2024",11/17/2024,,,"U-1589",
"N",22181,1,"7566714*PED","May 17, 2025",5/17/2025,,,,
"N",205065,1,"7566714*PED","May 17, 2025",5/17/2025,,,,
"N",22535,1,"7566729","Apr 22, 2029",4/22/2029,,,"U-1600",
"N",208780,1,"7566729","Apr 22, 2029",4/22/2029,,,"U-2077",
"N",208780,1,"7566729","Apr 22, 2029",4/22/2029,,,"U-2078",
"N",22159,1,"7569230","Oct 17, 2023",10/17/2023,,,"U-967",
"N",22108,1,"7569610","Jun 27, 2026",6/27/2026,,,"U-997",
"N",22418,1,"7569612","Aug 20, 2027",8/20/2027,,,"U-1000",
"N",21633,1,"7572779","Oct 2, 2025",10/2/2025,,,"U-904",
"N",21641,1,"7572834","Dec 5, 2026",12/5/2026,,"Y",,
"N",200796,1,"7572920","Jan 7, 2025",1/7/2025,,"Y","U-3",
"N",202331,1,"7572920","Jan 7, 2025",1/7/2025,,"Y","U-3",
"N",22108,1,"7572935","Jun 27, 2026",6/27/2026,,"Y",,
"N",22159,1,"7575757","Apr 21, 2025",4/21/2025,,"Y",,
"N",22128,1,"7576097","May 25, 2021",5/25/2021,"Y",,,
"N",208984,1,"7576097","May 25, 2021",5/25/2021,"Y",,,
"N",22266,1,"7579019","Jan 22, 2020",1/22/2020,,,"U-767",
"N",205637,1,"7579019","Jan 22, 2020",1/22/2020,,,"U-1521",
"N",207932,1,"7579019","Jan 22, 2020",1/22/2020,,,"U-1769",
"N",201656,1,"7579321","May 6, 2023",5/6/2023,,,"U-1980",
"N",21753,1,"7579377","Feb 23, 2025",2/23/2025,,,"U-818",
"N",204629,1,"7579449","Nov 5, 2025",11/5/2025,"Y",,,
"N",206073,1,"7579449","Nov 5, 2025",11/5/2025,"Y",,,
"N",206111,1,"7579449","Nov 5, 2025",11/5/2025,"Y",,,
"N",208658,1,"7579449","Nov 5, 2025",11/5/2025,"Y",,,
"N",203756,1,"7579473","Aug 14, 2026",8/14/2026,"Y","Y",,
"N",208692,1,"7579473","Aug 14, 2026",8/14/2026,"Y","Y",,
"N",22161,1,"7582617","Jun 22, 2019",6/22/2019,,,"U-1003",
"N",204427,1,"7582621","May 26, 2027",5/26/2027,,,"U-2016",
"N",20873,1,"7582727","Jul 27, 2028",7/27/2028,,"Y",,
"N",20873,1,"7582727*PED","Jan 27, 2029",1/27/2029,,,,
"N",22549,1,"7585493","Oct 26, 2021",10/26/2021,,"Y",,
"N",22406,1,"7585860","Dec 11, 2020",12/11/2020,"Y",,,
"N",22108,1,"7585897","Jun 27, 2026",6/27/2026,,"Y",,
"N",21929,1,"7587988","Apr 10, 2026",4/10/2026,,"Y",,
"N",21929,1,"7587988*PED","Oct 10, 2026",10/10/2026,,,,
"N",22011,1,"7589079","Sep 11, 2023",9/11/2023,"Y","Y","U-999",
"N",22434,1,"7589106","Sep 26, 2027",9/26/2027,,"Y","U-1163",
"N",22406,1,"7592339","Dec 11, 2020",12/11/2020,,,"U-1167",
"N",22406,1,"7592339","Dec 11, 2020",12/11/2020,,,"U-1200",
"N",22406,1,"7592339","Dec 11, 2020",12/11/2020,,,"U-1301",
"N",22406,1,"7592339","Dec 11, 2020",12/11/2020,,,"U-1302",
"N",22406,1,"7592339","Dec 11, 2020",12/11/2020,,,"U-1303",
"N",21669,1,"7595021","May 12, 2023",5/12/2023,,"Y","U-1022",
"N",202192,1,"7598257","Dec 24, 2027",12/24/2027,"Y","Y","U-1201",
"N",202192,1,"7598257","Dec 24, 2027",12/24/2027,"Y","Y","U-1622",
"N",21299,1,"7598271","May 4, 2025",5/4/2025,"Y",,,
"N",204516,1,"7598271","May 4, 2025",5/4/2025,"Y",,,
"N",208383,1,"7598276","Nov 8, 2026",11/8/2026,"Y",,,
"N",20873,1,"7598343","Jul 27, 2028",7/27/2028,,"Y",,
"N",20873,1,"7598343*PED","Jan 27, 2029",1/27/2029,,,,
"N",22549,1,"7601337","Oct 26, 2021",10/26/2021,,"Y",,
"N",207318,1,"7601740","Jun 17, 2027",6/17/2027,"Y","Y",,
"N",22352,1,"7601758","Feb 10, 2029",2/10/2029,,,"U-1007",
"N",205098,1,"7604185","May 26, 2020",5/26/2020,"Y","Y","U-1462",
"N",22554,1,"7605240","Aug 11, 2019",8/11/2019,,,"U-1707",
"N",22554,1,"7605240","Aug 11, 2019",8/11/2019,,,"U-1708",
"N",22393,1,"7608280","Aug 22, 2021",8/22/2021,"Y",,,
"N",22198,1,"7608282","Jan 22, 2025",1/22/2025,,"Y","U-1011",
"N",21454,1,"7608605","Apr 21, 2023",4/21/2023,,,"U-1009",
"N",21454,1,"7608606","Apr 21, 2023",4/21/2023,,,"U-1009",
"N",21454,1,"7608607","Apr 21, 2023",4/21/2023,,,"U-1009",
"N",21454,1,"7608608","Apr 21, 2023",4/21/2023,,,"U-1009",
"N",21454,1,"7608609","Apr 21, 2023",4/21/2023,,,"U-1009",
"N",21454,1,"7608610","Apr 21, 2023",4/21/2023,,,"U-1009",
"N",18708,1,"7608616","Jun 3, 2028",6/3/2028,,,"U-1012",
"N",22393,1,"7611724","Aug 22, 2021",8/22/2021,"Y",,,
"N",21445,1,"7612058","Oct 30, 2025",10/30/2025,,,"U-1027",
"N",21445,1,"7612058","Oct 30, 2025",10/30/2025,,,"U-1173",
"N",21445,1,"7612058*PED","Apr 30, 2026",4/30/2026,,,,
"N",22181,1,"7612073","Nov 17, 2024",11/17/2024,,,"U-1010",
"N",205065,1,"7612073","Nov 17, 2024",11/17/2024,,,"U-1010",
"N",22181,1,"7612073*PED","May 17, 2025",5/17/2025,,,,
"N",205065,1,"7612073*PED","May 17, 2025",5/17/2025,,,,
"N",206494,1,"7612087","Nov 12, 2026",11/12/2026,,"Y",,
"N",203565,1,"7612109","Feb 5, 2024",2/5/2024,"Y","Y",,
"N",22200,1,"7612176","Apr 13, 2025",4/13/2025,,"Y","U-1223",
"N",21361,1,"7612199","Jun 19, 2024",6/19/2024,"Y","Y",,
"N",22554,1,"7612199","Jun 19, 2024",6/19/2024,"Y","Y",,
"N",206947,1,"7612208","Sep 19, 2026",9/19/2026,"Y","Y",,
"N",203313,1,"7615532","May 25, 2025",5/25/2025,"Y","Y",,
"N",203314,1,"7615532","May 25, 2025",5/25/2025,"Y","Y",,
"N",208583,1,"7615532","May 25, 2025",5/25/2025,"Y","Y",,
"N",21840,1,"7615545","Jun 15, 2023",6/15/2023,,,"U-1",
"N",22262,1,"7615545","Jun 15, 2023",6/15/2023,,,"U-1",
"N",205494,1,"7615573","Apr 29, 2022",4/29/2022,,,"U-1571",
"N",21312,1,"7618649","Dec 19, 2020",12/19/2020,,"Y","U-1017",
"N",21313,1,"7618649","Dec 19, 2020",12/19/2020,,"Y","U-1017",
"N",21605,1,"7618649","Dec 19, 2020",12/19/2020,,"Y","U-1017",
"N",21312,1,"7618649*PED","Jun 19, 2021",6/19/2021,,,,
"N",21313,1,"7618649*PED","Jun 19, 2021",6/19/2021,,,,
"N",21605,1,"7618649*PED","Jun 19, 2021",6/19/2021,,,,
"N",204063,1,"7619001","Apr 1, 2018",4/1/2018,,,"U-1384",
"N",22352,1,"7619004","Dec 3, 2028",12/3/2028,,,"U-1020",
"N",20800,1,"7621891","Feb 4, 2025",2/4/2025,,"Y",,
"N",206333,1,"7622130","Dec 10, 2027",12/10/2027,,,"U-1690",
"N",22468,1,"7622470","May 31, 2025",5/31/2025,,,"U-1015",
"N",20610,1,"7625884","Aug 24, 2026",8/24/2026,,,"U-141",
"N",22205,1,"7625884","Aug 24, 2026",8/24/2026,,,"U-1229",
"N",20610,1,"7625884*PED","Feb 24, 2027",2/24/2027,,,,
"N",204275,1,"7629335","Aug 3, 2021",8/3/2021,,"Y",,
"N",205625,1,"7629335","Aug 3, 2021",8/3/2021,,"Y",,
"N",22196,1,"7632517","Oct 1, 2017",10/1/2017,,,"U-70",
"N",203093,1,"7635704","Oct 26, 2026",10/26/2026,"Y","Y","U-257",
"N",203100,1,"7635704","Oct 26, 2026",10/26/2026,"Y","Y","U-257",
"N",207561,1,"7635704","Oct 26, 2026",10/26/2026,"Y","Y","U-257",
"N",22535,1,"7635707","Apr 22, 2029",4/22/2029,,,"U-1609",
"N",208780,1,"7635707","Apr 22, 2029",4/22/2029,,,"U-2072",
"N",208780,1,"7635707","Apr 22, 2029",4/22/2029,,,"U-2073",
"N",208780,1,"7635707","Apr 22, 2029",4/22/2029,,,"U-2074",
"N",208780,1,"7635707","Apr 22, 2029",4/22/2029,,,"U-2075",
"N",208780,1,"7635707","Apr 22, 2029",4/22/2029,,,"U-2076",
"N",208780,1,"7635707","Apr 22, 2029",4/22/2029,,,"U-2083",
"N",22325,1,"7635773","Mar 13, 2029",3/13/2029,,"Y",,
"N",206030,1,"7635773","Mar 13, 2029",3/13/2029,,"Y",,
"N",207921,1,"7637260","Aug 25, 2020",8/25/2020,,"Y",,
"N",21336,1,"7638140","May 10, 2018",5/10/2018,,"Y",,
"N",202022,1,"7638522","Apr 14, 2023",4/14/2023,,"Y",,
"N",22571,1,"7638552","Aug 20, 2023",8/20/2023,,,"U-1076",
"N",21398,1,"7642258","Apr 19, 2022",4/19/2022,"Y","Y","U-1024",
"N",21395,1,"7642268","Sep 24, 2021",9/24/2021,"Y","Y",,
"N",21395,1,"7642268*PED","Mar 24, 2022",3/24/2022,,,,
"N",22560,1,"7645459","Jan 9, 2028",1/9/2028,,"Y","U-662",
"N",22560,1,"7645460","Jan 9, 2028",1/9/2028,,"Y","U-662",
"N",22108,1,"7645802","Jun 27, 2026",6/27/2026,,"Y",,
"N",22472,1,"7648960","Jun 29, 2020",6/29/2020,,,"U-1535",
"N",22108,1,"7649019","Jun 27, 2026",6/27/2026,,"Y",,
"N",22404,1,"7651698","Sep 11, 2022",9/11/2022,,,"U-1051",
"N",21991,1,"7652069","Mar 4, 2023",3/4/2023,,"Y",,
"N",21977,1,"7655630","Feb 24, 2023",2/24/2023,"Y",,,
"N",208510,1,"7655630","Feb 24, 2023",2/24/2023,"Y","Y",,
"N",22161,1,"7655636","Jun 22, 2019",6/22/2019,,,"U-869",
"N",22161,1,"7655637","Jun 22, 2019",6/22/2019,"Y","Y","U-869",
"N",21881,1,"7658914","Sep 1, 2024",9/1/2024,"Y","Y",,
"N",22210,1,"7658918","Feb 20, 2028",2/20/2028,,"Y",,
"N",22118,1,"7658944","Dec 9, 2024",12/9/2024,,"Y",,
"N",22328,1,"7658945","Apr 15, 2027",4/15/2027,,"Y","U-1194",
"N",21977,1,"7659253","Feb 24, 2023",2/24/2023,"Y","Y","U-727",
"N",208510,1,"7659253","Feb 24, 2023",2/24/2023,"Y","Y","U-727",
"N",21977,1,"7659254","Feb 24, 2023",2/24/2023,,,"U-1034",
"N",208510,1,"7659254","Feb 24, 2023",2/24/2023,,,"U-727",
"N",22580,1,"7659256","Jun 14, 2020",6/14/2020,,"Y","U-1262",
"N",21879,1,"7659282","Aug 13, 2026",8/13/2026,,,"U-1093",
"N",207318,1,"7659285","Aug 24, 2026",8/24/2026,,,"U-1844",
"N",205437,1,"7659302","Mar 19, 2023",3/19/2023,,,"U-1505",
"N",205437,1,"7659302","Mar 19, 2023",3/19/2023,,,"U-1595",
"N",204760,1,"7662365","Oct 18, 2022",10/18/2022,"Y","Y",,
"N",22108,1,"7662407","Jun 27, 2026",6/27/2026,,"Y",,
"N",21977,1,"7662787","Feb 24, 2023",2/24/2023,"Y",,,
"N",208510,1,"7662787","Feb 24, 2023",2/24/2023,"Y",,,
"N",21977,1,"7662788","Feb 24, 2023",2/24/2023,,,"U-727",
"N",208510,1,"7662788","Feb 24, 2023",2/24/2023,,,"U-727",
"N",22202,1,"7662858","Feb 24, 2029",2/24/2029,,,"U-1035",
"N",21196,1,"7668730","Jun 16, 2024",6/16/2024,,,"U-1110",
"N",21977,1,"7671030","Feb 24, 2023",2/24/2023,,"Y","U-727",
"N",208510,1,"7671030","Feb 24, 2023",2/24/2023,,"Y","U-727",
"N",21977,1,"7671031","Feb 24, 2023",2/24/2023,,,"U-727",
"N",208510,1,"7671031","Feb 24, 2023",2/24/2023,,,"U-727",
"N",205123,1,"7671032","May 19, 2025",5/19/2025,"Y","Y",,
"N",21598,1,"7671070","Sep 29, 2019",9/29/2019,,,"U-709",
"N",22428,1,"7671070","Sep 29, 2019",9/29/2019,,"Y","U-709",
"N",21598,1,"7671070*PED","Mar 29, 2020",3/29/2020,,,,
"N",22428,1,"7671070*PED","Mar 29, 2020",3/29/2020,,,,
"N",22108,1,"7671094","Jun 27, 2026",6/27/2026,,"Y",,
"N",22497,1,"7674479","Jun 25, 2027",6/25/2027,,"Y",,
"N",21977,1,"7674774","Feb 24, 2023",2/24/2023,,"Y","U-842",
"N",208510,1,"7674774","Feb 24, 2023",2/24/2023,,"Y","U-727",
"N",22580,1,"7674776","Jun 14, 2020",6/14/2020,,"Y","U-1262",
"N",22272,1,"7674799","Mar 30, 2025",3/30/2025,,"Y",,"Y"
"N",22272,1,"7674800","Mar 30, 2025",3/30/2025,"Y",,,"Y"
"N",21977,1,"7678770","Feb 24, 2023",2/24/2023,,,"U-842",
"N",208510,1,"7678770","Feb 24, 2023",2/24/2023,,,"U-727",
"N",21977,1,"7678771","Feb 24, 2023",2/24/2023,,"Y","U-842",
"N",208510,1,"7678771","Feb 24, 2023",2/24/2023,,"Y","U-727",
"N",22328,1,"7682628","Feb 16, 2025",2/16/2025,,,"U-1194",
"N",22321,1,"7682633","Jun 19, 2027",6/19/2027,,,"U-1510",
"N",22321,1,"7682634","Jun 19, 2027",6/19/2027,,"Y",,
"N",22161,1,"7683037","Jun 22, 2019",6/22/2019,,,"U-1042",
"N",22247,1,"7683051","Mar 10, 2027",3/10/2027,"Y","Y","U-594",
"N",22247,1,"7683051","Mar 10, 2027",3/10/2027,"Y","Y","U-904",
"N",22272,1,"7683072","Mar 30, 2025",3/30/2025,"Y",,,"Y"
"N",202008,1,"7687052","Apr 30, 2027",4/30/2027,"Y","Y",,
"N",21892,1,"7687075","Jun 22, 2028",6/22/2028,"Y","Y",,
"N",21977,1,"7687466","Feb 24, 2023",2/24/2023,,"Y",,
"N",208510,1,"7687466","Feb 24, 2023",2/24/2023,,"Y",,
"N",21977,1,"7687467","Feb 24, 2023",2/24/2023,,"Y","U-842",
"N",208510,1,"7687467","Feb 24, 2023",2/24/2023,,"Y","U-727",
"N",22434,1,"7687516","Sep 26, 2027",9/26/2027,,"Y","U-1164",
"N",208462,1,"7687662","Aug 6, 2027",8/6/2027,"Y","Y",,
"N",21419,1,"7691880","Oct 7, 2024",10/7/2024,,"Y",,
"N",21395,1,"7694676","Mar 12, 2027",3/12/2027,,"Y",,
"N",21395,1,"7694676*PED","Sep 12, 2027",9/12/2027,,,,
"N",22421,1,"7695734","Apr 26, 2028",4/26/2028,,"Y",,
"N",20723,1,"7696159","Apr 1, 2024",4/1/2024,"Y",,"U-1047",
"N",20723,1,"7696159","Apr 1, 2024",4/1/2024,"Y",,"U-1048",
"N",20723,1,"7696159*PED","Oct 1, 2024",10/1/2024,,,,
"N",21629,1,"7696162","Mar 22, 2022",3/22/2022,,"Y","U-471",
"N",201820,1,"7696178","Mar 17, 2023",3/17/2023,,"Y",,
"N",21400,1,"7696206","Oct 31, 2018",10/31/2018,"Y","Y","U-533",
"N",200179,1,"7696206","Oct 31, 2018",10/31/2018,,,"U-155",
"N",22535,1,"7696236","Dec 18, 2027",12/18/2027,,,"U-1601",
"N",50781,1,"7699609","Mar 29, 2022",3/29/2022,,"Y",,
"N",207071,1,"7700076","Sep 18, 2027",9/18/2027,,"Y",,
"N",21644,1,"7700081","Jan 3, 2022",1/3/2022,,,"U-1044",
"N",21925,1,"7700128","Jan 30, 2027",1/30/2027,,"Y",,
"N",22110,1,"7700550","May 1, 2021",5/1/2021,,,"U-282",
"N",21977,1,"7700561","Feb 24, 2023",2/24/2023,,"Y",,
"N",21976,1,"7700645","Dec 26, 2026",12/26/2026,"Y","Y",,
"N",202895,1,"7700645","Dec 26, 2026",12/26/2026,"Y","Y",,
"N",205395,1,"7700645","Dec 26, 2026",12/26/2026,"Y","Y",,
"N",21976,1,"7700645*PED","Jun 26, 2027",6/26/2027,,,,
"N",202895,1,"7700645*PED","Jun 26, 2027",6/26/2027,,,,
"N",205395,1,"7700645*PED","Jun 26, 2027",6/26/2027,,,,
"N",202811,1,"7704947","Jan 28, 2024",1/28/2024,"Y","Y",,
"N",22501,1,"7704984","Feb 2, 2029",2/2/2029,,,"U-1090",
"N",204654,1,"7704984","Feb 2, 2029",2/2/2029,,,"U-1",
"N",21473,1,"7709022","Jun 23, 2021",6/23/2021,,"Y",,
"N",21473,1,"7709022*PED","Dec 23, 2021",12/23/2021,,,,
"N",21632,1,"7709444","Apr 12, 2021",4/12/2021,,"Y","U-540",
"N",208794,1,"7709493","Dec 11, 2027",12/11/2027,"Y",,"U-1979",
"N",203415,1,"7709517","Aug 13, 2027",8/13/2027,"Y","Y",,
"N",21081,1,"7713930","Jun 13, 2023",6/13/2023,,"Y",,
"N",21081,1,"7713930*PED","Dec 13, 2023",12/13/2023,,,,
"N",21977,1,"7713936","Feb 24, 2023",2/24/2023,,,"U-727",
"N",208510,1,"7713936","Feb 24, 2023",2/24/2023,,,"U-727",
"N",204629,1,"7713938","Apr 15, 2027",4/15/2027,"Y","Y",,
"N",206073,1,"7713938","Apr 15, 2027",4/15/2027,"Y","Y",,
"N",206111,1,"7713938","Apr 15, 2027",4/15/2027,"Y","Y",,
"N",208658,1,"7713938","Apr 15, 2027",4/15/2027,"Y","Y",,
"N",21669,1,"7717889","Feb 27, 2025",2/27/2025,,"Y","U-1022",
"N",22554,1,"7718608","Aug 11, 2019",8/11/2019,,,"U-1707",
"N",22554,1,"7718608","Aug 11, 2019",8/11/2019,,,"U-1708",
"N",21977,1,"7718619","Feb 24, 2023",2/24/2023,,"Y","U-842",
"N",208510,1,"7718619","Feb 24, 2023",2/24/2023,,"Y","U-727",
"N",22219,1,"7718640","Mar 14, 2027",3/14/2027,,"Y",,
"N",202810,1,"7722898","Apr 13, 2027",4/13/2027,,"Y",,
"N",21977,1,"7723305","Feb 24, 2023",2/24/2023,,"Y","U-842",
"N",208510,1,"7723305","Feb 24, 2023",2/24/2023,,"Y","U-727",
"N",22121,1,"7723390","Mar 14, 2024",3/14/2024,,"Y",,
"N",20965,1,"7723910","Jun 17, 2019",6/17/2019,,,"U-289",
"N",203108,1,"7727984","Nov 10, 2023",11/10/2023,"Y",,,
"N",206756,1,"7727984","Nov 10, 2023",11/10/2023,"Y",,,
"N",22181,1,"7727987","Nov 17, 2024",11/17/2024,,"Y",,
"N",22181,1,"7727987*PED","May 17, 2025",5/17/2025,,,,
"N",208610,1,"7728143","Nov 20, 2027",11/20/2027,"Y",,,
"N",208611,1,"7728143","Nov 20, 2027",11/20/2027,"Y",,,
"N",201739,1,"7731686","Jun 1, 2026",6/1/2026,,"Y",,
"N",205787,1,"7731686","Jun 10, 2026",6/10/2026,,"Y",,
"N",209862,1,"7731686","Jun 1, 2026",6/1/2026,,"Y",,
"N",201739,1,"7731690","Jan 15, 2025",1/15/2025,,"Y",,
"N",205787,1,"7731690","Jan 15, 2025",1/15/2025,,"Y",,
"N",209862,1,"7731690","Jan 15, 2025",1/15/2025,,"Y",,
"N",205098,1,"7731986","Nov 17, 2024",11/17/2024,"Y","Y","U-1463",
"N",22544,1,"7731989","Oct 25, 2022",10/25/2022,,"Y",,
"N",21991,1,"7732490","Mar 4, 2023",3/4/2023,,,"U-892",
"N",207318,1,"7732615","Jun 3, 2028",6/3/2028,"Y","Y",,
"N",204442,1,"7736665","Apr 25, 2024",4/25/2024,,,"U-1878",
"N",207923,1,"7736670","Jun 27, 2021",6/27/2021,,"Y",,
"N",207930,1,"7736670","Jun 27, 2021",6/27/2021,,"Y",,
"N",202714,1,"7737112","Dec 7, 2027",12/7/2027,,"Y",,
"N",204370,1,"7737142","Mar 27, 2027",3/27/2027,"Y","Y","U-1750",
"N",21753,1,"7737181","Aug 29, 2024",8/29/2024,,"Y",,
"N",21684,1,"7741268","Apr 2, 2024",4/2/2024,,"Y",,
"N",21773,1,"7741269","Jan 7, 2018",1/7/2018,,,"U-1074",
"N",21773,1,"7741269","Jan 7, 2018",1/7/2018,,,"U-1108",
"N",21773,1,"7741269","Jan 7, 2018",1/7/2018,,,"U-653",
"N",22200,1,"7741269","Jan 7, 2018",1/7/2018,,,"U-1224",
"N",22334,1,"7741338","Dec 6, 2019",12/6/2019,,"Y",,
"N",206940,1,"7741356","Mar 25, 2028",3/25/2028,"Y","Y",,
"N",22117,1,"7741358","Apr 6, 2026",4/6/2026,"Y","Y","U-1064",
"N",22117,1,"7741358","Apr 6, 2026",4/6/2026,"Y","Y","U-1960",
"N",22117,1,"7741358","Apr 6, 2026",4/6/2026,"Y","Y","U-1961",
"N",22117,1,"7741358","Apr 6, 2026",4/6/2026,"Y","Y","U-1962",
"N",22117,1,"7741358","Apr 6, 2026",4/6/2026,"Y","Y","U-1963",
"N",22117,1,"7741358*PED","Oct 6, 2026",10/6/2026,,,,
"N",22418,1,"7741373","Aug 20, 2027",8/20/2027,,,"U-1059",
"N",22418,1,"7741374","Aug 20, 2027",8/20/2027,,,"U-1060",
"N",22418,1,"7741374","Aug 20, 2027",8/20/2027,,,"U-1061",
"N",204824,1,"7744582","Aug 10, 2019",8/10/2019,,"Y","U-1442",
"N",202811,1,"7745409","Jan 28, 2024",1/28/2024,"Y","Y",,
"N",208073,1,"7745460","Nov 5, 2024",11/5/2024,"Y","Y","U-1880",
"N",22511,1,"7745466","Oct 13, 2018",10/13/2018,,"Y","U-1053",
"N",201739,1,"7749194","Oct 30, 2028",10/30/2028,,"Y",,
"N",205787,1,"7749194","Oct 30, 2028",10/30/2028,,"Y",,
"N",209862,1,"7749194","Oct 30, 2028",10/30/2028,,"Y",,
"N",50805,1,"7749532","Dec 19, 2027",12/19/2027,,"Y","U-1063",
"N",21911,1,"7750028","Oct 19, 2018",10/19/2018,,,"U-106",
"N",201367,1,"7750028","Oct 19, 2018",10/19/2018,,,"U-106",
"N",21911,1,"7750028*PED","Apr 19, 2019",4/19/2019,,,,
"N",201367,1,"7750028*PED","Apr 19, 2019",4/19/2019,,,,
"N",206333,1,"7754230","Dec 10, 2027",12/10/2027,,,"U-1690",
"N",203565,1,"7754702","Feb 13, 2027",2/13/2027,,"Y","U-1432",
"N",22145,1,"7754731","Mar 11, 2029",3/11/2029,"Y","Y","U-257",
"N",203045,1,"7754731","Mar 11, 2029",3/11/2029,"Y","Y","U-257",
"N",205786,1,"7754731","Mar 11, 2029",3/11/2029,"Y","Y","U-257",
"N",206510,1,"7754731","Mar 11, 2029",3/11/2029,"Y","Y","U-1663",
"N",22145,1,"7754731*PED","Sep 11, 2029",9/11/2029,,,,
"N",203045,1,"7754731*PED","Sep 11, 2029",9/11/2029,,,,
"N",205786,1,"7754731*PED","Sep 11, 2029",9/11/2029,,,,
"N",206510,1,"7754731*PED","Sep 11, 2029",9/11/2029,,,,
"N",205579,1,"7758890","Jul 1, 2025",7/1/2025,,"Y",,
"N",21660,1,"7758891","Feb 21, 2026",2/21/2026,,,"U-1434",
"N",203255,1,"7759308","Oct 25, 2026",10/25/2026,,"Y",,
"N",21929,1,"7759328","Jan 29, 2023",1/29/2023,,"Y","U-2001",
"N",21929,1,"7759328","Jan 29, 2023",1/29/2023,,"Y","U-2002",
"N",21929,1,"7759328","Jan 29, 2023",1/29/2023,,"Y","U-2122",
"N",21929,1,"7759328*PED","Jul 29, 2023",7/29/2023,,,,
"N",22103,1,"7759359","Nov 4, 2024",11/4/2024,,,"U-1071",
"N",22165,1,"7759394","Jun 16, 2026",6/16/2026,"Y","Y","U-436",
"N",22103,1,"7763635","Nov 4, 2024",11/4/2024,,,"U-1071",
"N",21196,1,"7765106","Jun 16, 2024",6/16/2024,,,"U-1069",
"N",21196,1,"7765107","Jun 16, 2024",6/16/2024,,,"U-1070",
"N",22315,1,"7767223","Nov 28, 2021",11/28/2021,,"Y",,
"N",22535,1,"7767225","Sep 22, 2026",9/22/2026,,"Y","U-1602",
"N",21859,1,"7767429","Sep 23, 2027",9/23/2027,"Y","Y",,
"N",203341,1,"7767678","Nov 23, 2026",11/23/2026,"Y","Y",,
"N",22535,1,"7767700","Dec 18, 2027",12/18/2027,,,"U-1601",
"N",208780,1,"7767700","Dec 18, 2027",12/18/2027,,,"U-2080",
"N",205874,1,"7767851","Feb 18, 2024",2/18/2024,"Y","Y",,
"N",208090,1,"7771707","Mar 24, 2025",3/24/2025,,"Y",,
"N",202258,1,"7772178","Nov 11, 2027",11/11/2027,,"Y","U-1128",
"N",21462,1,"7772209","Nov 24, 2021",11/24/2021,,,"U-1077",
"N",21462,1,"7772209","Nov 24, 2021",11/24/2021,,,"U-1296",
"N",21462,1,"7772209*PED","May 24, 2022",5/24/2022,,,,
"N",22239,1,"7776007","Nov 22, 2026",11/22/2026,,"Y",,
"N",204824,1,"7776015","Aug 10, 2019",8/10/2019,,"Y",,
"N",22272,1,"7776314","Apr 19, 2025",4/19/2025,,"Y",,"Y"
"N",208159,1,"7776838","Aug 17, 2027",8/17/2027,,,"U-1791",
"N",203975,1,"7776895","Sep 11, 2022",9/11/2022,,"Y",,
"N",204275,1,"7776895","Sep 11, 2022",9/11/2022,,"Y",,
"N",202813,1,"7780038","Jan 24, 2027",1/24/2027,,"Y",,
"N",22103,1,"7781448","Nov 4, 2024",11/4/2024,,,"U-1071",
"N",22103,1,"7781449","Nov 4, 2024",11/4/2024,,,"U-1071",
"N",22024,1,"7785627","Jul 31, 2026",7/31/2026,,"Y",,
"N",203108,1,"7786111","Nov 10, 2023",11/10/2023,,"Y",,
"N",206756,1,"7786111","Nov 10, 2023",11/10/2023,,"Y",,
"N",22277,1,"7786118","Feb 21, 2023",2/21/2023,,"Y",,
"N",204760,1,"7786133","Dec 19, 2027",12/19/2027,"Y","Y",,
"N",206940,1,"7786158","Mar 14, 2025",3/14/2025,"Y",,,
"N",21777,1,"7790199","Nov 14, 2023",11/14/2023,,"Y",,
"N",22291,1,"7790704","May 24, 2021",5/24/2021,,,"U-1306",
"N",22291,1,"7790704","May 24, 2021",5/24/2021,,,"U-1575",
